Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30
io.reactivex.rxjava3.internal.jdk8.ObservableMapOptionalTest._Benchmark.benchmark_syncFusedAll$ ===,7397933.46,7401860.389,7330717.213,7409751.072,7435797.157,7460014.325,7440152.025,7449686.032,7434982.482,7412766.978,7335205.542,7398897.134,7440321.972,7415586.645,7421031.311,7371311.588,7403103.339,7459630.191,7447062.321,7350938.464,7377118.881,7457946.407,7458110.393,7423297.674,7380539.47,7431130.142,7432448.145,7426248.563,7381455.327,7445811.382
io.reactivex.rxjava3.internal.operators.observable.ObservableResourceWrapperTest._Benchmark.benchmark_disposed$ ===,8119237.973,8216080.224,8211434.507,8211250.181,8180958.379,8170084.004,8146681.286,8181709.507,8188038.703,8198056.273,8182627.196,8128444.184,8160105.301,8126365.324,8186511.339,8143872.93,8135319.109,8132694.673,8192217.945,8209702.507,8186718.833,8090966.805,8173675.578,8203126.765,8097581.351,8242987.827,8205418.765,8221174.545,8227994.868,8135670.211
io.reactivex.rxjava3.internal.operators.flowable.FlowableTakeLastOneTest._Benchmark.benchmark_error$ ===,1028223.549,1007568.855,1028455.371,1025132.07,1009985.937,1024267.028,1021943.819,1026961.196,1017838.842,1020513.38,1016813.055,1027641.203,1023875.162,1026665.92,1007996.653,1027464.781,1024227.318,1023382.598,1024382.897,1026685.988,1030364.337,1021396.774,1027803.852,1024941.304,1018150.044,1022661.254,1028689.86,1017630.839,1021376.403,1028757.721
io.reactivex.rxjava3.flowable.FlowableFuseableTest._Benchmark.benchmark_syncRangeHidden$ ===,3192717.455,3220714.201,3207674.949,3185604.658,3200389.905,3190264.433,3189183.711,3220252.907,3191265.854,3209647.15,3195683.006,3196484.307,3180529.558,3201051.689,3199205.163,3140260.715,3173144.546,3165729.686,3180972.624,3206750.974,3180797.628,3200414.215,3209194.406,3210077.956,3181629.369,3204978.299,3195030.982,3167108.513,3193322.277,3197417.052
io.reactivex.rxjava3.internal.operators.maybe.MaybeTakeUntilTest._Benchmark.benchmark_doubleOnSubscribe$ ===,704876.118,706981.448,708453.83,703803.387,707250.276,702512.073,706734.08,708598.996,708070.11,708455.553,706738.748,708209.233,712003.898,704181.8,715138.084,703660.224,708080.892,706951.207,711670.077,709598.781,707238.533,713007.442,711808.31,708619.958,706338.238,705077.738,703623.105,708811.511,710213.094,705540.713
io.reactivex.rxjava3.maybe.MaybeTest._Benchmark.benchmark_ambWith2SignalsSuccess$ ===,2301384.202,2287423.043,2312139.779,2304734.94,2322340.943,2314293.672,2295610.589,2312544.114,2302936.708,2301351.567,2314011.998,2300052.173,2285378.682,2282508.293,2294499.31,2299230.15,2296646.581,2309644.299,2310207.858,2318822.314,2291877.393,2318111.078,2288002.105,2308648.139,2295234.394,2289658.309,2298222.666,2298574.98,2306465.222,2315141.705
io.reactivex.rxjava3.flowable.FlowableNullTests._Benchmark.benchmark_bufferTimedSupplierReturnsNull$ ===,752082.764,755516.609,760702.849,760314.493,759962.164,748275.452,761611.804,759964.908,769072.812,767161.975,756322.018,759108.29,761369.975,757009.322,763725.908,759710.704,764017.67,761624.546,765769.211,762398.543,762736.235,760166.811,759639.314,762725.862,762838.325,758118.808,760919.395,761196.199,759517.345,762947.075
io.reactivex.rxjava3.internal.operators.observable.ObservableDoAfterNextTest._Benchmark.benchmark_empty$ ===,11175444.342,11285322.834,11174663.966,11193861.268,11264616.644,11205087.712,11299695.062,11290697.334,11208904.708,11190064.398,11243285.865,11263926.629,11211717.684,11002304.344,10883535.014,11020475.521,11032743.697,11034299.228,10976732.634,10940297.246,10969640.895,10935620.857,11039916.69,10980510.499,10910520.568,10901082.541,10888669.407,10859751.695,10935260.693,10835132.345
io.reactivex.rxjava3.internal.operators.observable.ObservableOnErrorCompleteTest._Benchmark.benchmark_normal$ ===,5460006.256,5387869.91,5388929.052,5393613.697,5453126.444,5449119.849,5412948.045,5424862.631,5355471.61,5440795.222,5402136.057,5421707.088,5454999.216,5443776.431,5384865.786,5449048.685,5383195.846,5455487.326,5440373.417,5469297.321,5455077.856,5427601.071,5418314.225,5441087.697,5455069.025,5381072.263,5436147.797,5454117.66,5462002.882,5431822.499
io.reactivex.rxjava3.internal.operators.observable.ObservableMaterializeTest._Benchmark.benchmark_doubleOnSubscribe$ ===,761898.891,751359.518,754794.234,759512.238,756400.208,760192.339,751330.194,728138.151,723246.72,748880.778,751064.393,756195.203,757039.265,754538.637,759274.438,759631.466,759192.625,756535.462,752693.954,752777.231,761533.4,755786.064,759105.95,761919.949,752265.55,751320.144,758059.207,750150.12,756890.583,757970.909
