Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30
io.reactivex.rxjava3.core.clusters.Cluster_884._Benchmark.benchmark_Cluster_884$ ===,182749.268,182549.568,182888.804,182820.499,180979.111,182759.195,182413.732,181835.009,182986.433,183051.79,182641.849,182574.881,182223.803,181444.568,181918.326,182820.707,180908.09,181923.431,182692.42,182770.335,182329.464,182588.952,183038.943,182893.31,183175.756,182578.32,182996.089,182939.127,182780.104,183199.282
io.reactivex.rxjava3.core.clusters.Cluster_291._Benchmark.benchmark_Cluster_291$ ===,148175.479,148356.902,147883.451,147859.685,147898.057,146902.974,147358.297,147583.087,147203.472,147674.708,147250.629,147948.287,147517.028,146937.1,147741.641,148104.19,148181.072,146842.61,148131.676,147711.501,147752.499,146858.587,146177.061,146400.372,147610.653,147483.211,148180.176,147742.931,147906.366,148180.91
io.reactivex.rxjava3.core.clusters.Cluster_868._Benchmark.benchmark_Cluster_868$ ===,138030.708,138545.93,138489.211,137301.707,137764.774,138358.374,137630.33,139047.028,138478.756,137993.741,137842.608,137761.171,138308.086,138549.492,137570.49,138488.377,138267.228,137798.934,137804.377,135695.399,137159.832,138312.55,138509.246,138658.086,131486.809,139056.62,138991.708,138027.941,138888.972,138096.432
io.reactivex.rxjava3.core.clusters.Cluster_324._Benchmark.benchmark_Cluster_324$ ===,139910.073,145250.599,145265.226,145401.238,145031.119,145238.595,144499.838,144339.316,145562.749,145647.731,145364.848,145051.703,145338.682,145104.45,144569.001,145432.498,145178.765,145245.82,144987.823,145023.052,145321.963,145302.487,145550.882,145477.517,145171.556,145079.658,145398.324,144020.564,144650.26,144502.523
io.reactivex.rxjava3.core.clusters.Cluster_194._Benchmark.benchmark_Cluster_194$ ===,159073.932,157519.158,158454.179,159409.298,158292.209,158034.836,159260.174,158641.516,159119.871,159389.519,157965.546,158987.83,158986.403,158748.427,159733.67,159018.468,159307.817,159192.032,159360.126,159212.407,157594.824,159586.313,158585.044,159058.762,159142.614,158694.569,159478.028,158818.707,158568.594,159195.503
io.reactivex.rxjava3.core.clusters.Cluster_73._Benchmark.benchmark_Cluster_73$ ===,162442.874,162315.175,162524.508,162292.036,163184.766,162666.458,163242.955,163365.356,162245.81,163601.655,162592.579,162902.462,162838.952,162392.355,163571.511,162785.295,163559.512,163557.629,163082.898,161670.355,162506.032,163222.15,162661.545,162629.613,163391.668,163614.408,163764.349,162707.146,163196.082,163444.271
io.reactivex.rxjava3.core.clusters.Cluster_660._Benchmark.benchmark_Cluster_660$ ===,206701.937,206506.438,206276.182,205845.765,206492.716,206964.522,207145.89,206228.111,206765.882,206993.713,206901.705,206411.089,206648.885,206963.337,206608.728,206795.445,206400.34,206289.18,206014.928,207056.814,206904.633,205903.168,206280.687,206714.227,207041.508,206683.987,205607.729,206401.393,206590.523,206131.83
io.reactivex.rxjava3.core.clusters.Cluster_603._Benchmark.benchmark_Cluster_603$ ===,201985.551,204388.954,204909.35,204869.652,204822.043,205124.608,205113.132,205098.496,205271.246,204917.537,204433.854,205131.049,205519.841,204732.506,205312.628,205923.239,203487.646,204613.907,204774.956,204647.906,205342.819,206034.288,205430.184,205882.637,205728.562,205528.224,205149.017,205184.34,205273.525,204075.011
io.reactivex.rxjava3.core.clusters.Cluster_256._Benchmark.benchmark_Cluster_256$ ===,352966.841,352196.751,351308.768,352552.062,352504.242,351662.881,355358.941,355075.693,354376.068,356231.256,354935.147,355329.627,356212.292,355934.642,356621.326,355219.091,355609.87,355669.688,355114.511,356167.313,356605.88,356363.884,355653.667,355428.355,355460.78,355602.387,355673.803,356071.691,355858.434,355584.486
io.reactivex.rxjava3.core.clusters.Cluster_508._Benchmark.benchmark_Cluster_508$ ===,162079.107,161272.173,161600.297,161655.875,161618.053,161645.144,161428.589,161127.739,160738.545,160914.035,160453.39,161328.859,160729.518,161530.685,161552.437,161704.3,161149.502,162033.776,161411.1,161678.056,161891.123,161681.039,161553.197,160744.689,160561.682,160819.074,162215.574,161244.27,161560.666,161651.175
io.reactivex.rxjava3.core.clusters.Cluster_84._Benchmark.benchmark_Cluster_84$ ===,219259.831,218629.065,218385.344,217953.575,218436.175,216842.426,218383.945,216193.193,217032.727,219225.299,218752.454,217170.013,217147.792,215610.318,218006.139,217748.867,218108.625,219349.086,218540.207,217277.04,217690.076,216871.017,218866.54,217112.965,217935.612,217651.809,218642.951,217650.88,215886.391,215312.58
