Package Name,Class Name,Covered Lines
MultiReaderMutableSetFactory.java,UnifiedSet.java,69;70;97;98;99;153;205;211;212;219;220;221;222;244;245;246;248;249;253;255;257;264;265;267;270;274;283;287;289;290;294;296;300;305;307;308;312;314;318;319;323;327;328;329;333;339;340;341;342;344;346;347;349;352;354;356;360;361;363;365;366;368;370;371;373;378;379;381;384;1823;1824;1825;1826;2100;2101;2103;2105;2106;2108;2110;2113;2115;2117;2122;2123;2125;2128;2130;2132;2141;2143;2145;2147;2148;2150;2152;2154;2156;2158;2160;2161;2163;2165;2166;2170;2172;2174;2176;2177;2181;2185;2186;2187;2189;2191;2330;2335;2339;2344
UnmodifiableIteratorAdapter.java,AbstractRichIterable.java,96;143
