Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30
io.reactivex.rxjava3.internal.subscribers.QueueDrainSubscriberTest._Benchmark.benchmark_orderedFastPathRequest1$ ===,4293577.669,4329404.032,4308963.391,4262818.642,4306555.697,4306354.182,4294512.902,4296976.783,4284322.525,4294010.671,4305277.323,4292525.68,4297868.607,4305655.32,4301710.213,4291800.138,4334711.337,4308090.872,4285815.373,4293590.586,4294809.147,4318031.581,4337198.019,4292477.566,4343849.343,4290908.454,4294222.36,4316974.718,4332541.614,4298756.742
io.reactivex.rxjava3.internal.operators.single.SingleUsingTest._Benchmark.benchmark_nonEagerDisposeUpstreamThenDisposeResource$ ===,5674903.879,5662283.005,5705580.324,5686936.553,5680201.428,5707736.962,5652629.65,5662755.958,5675399.038,5674482.201,5687538.499,5693501.869,5703982.304,5681561.536,5683200.672,5657003.852,5718734.052,5685455.411,5680569.293,5687586.468,5692013.117,5697988.391,5686173.259,5678731.408,5695484.511,5673556.581,5664921.942,5657579.881,5661793.596,5709976.322
io.reactivex.rxjava3.internal.operators.maybe.MaybeDelayOtherTest._Benchmark.benchmark_justWithOnError$ ===,896595.014,904073.03,906738.618,900705.712,902039.787,904100.283,901435.502,905981.57,906265.926,900364.764,904722.115,899046.866,899649.646,902799.911,905203.521,902111.594,901326.292,899342.722,899224.436,904595.665,898181.295,900405.833,900226.064,900791.791,902447.183,903164.531,901470.361,898473.936,902922.299,901339.821
io.reactivex.rxjava3.internal.jdk8.ObservableStageSubscriberOrDefaultTest._Benchmark.benchmark_firstDoubleOnSubscribe$ ===,715605.022,715414.581,716820.193,715749.479,711391.772,713574.922,715470.679,715986.44,716031.522,713655.665,716360.538,714394.325,715522.202,716923.232,714938.719,713802.947,715964.578,713575.641,716828.812,712952.3,712361.696,716833.61,716846.872,717240.07,716731.186,716281.815,712850.974,716983.42,713010.552,719020.807
io.reactivex.rxjava3.internal.operators.flowable.BlockingFlowableLatestTest._Benchmark.benchmark_error2$ ===,1030677.165,1027766.865,1026765.989,1029249.278,1029547.179,1030585.277,1031231.719,1031771.207,1027940.394,1029487.367,1027148.201,1029782.456,1027896.676,1031480.244,1029352.201,1028594.956,1030133.494,1031574.787,1028692.096,1028306.416,1028092.235,1029600.338,1028253.096,1032006.558,1027109.23,1031629.204,1027550.116,1031634.355,1030539.556,1032325.439
io.reactivex.rxjava3.internal.operators.flowable.FlowableTakeTest2._Benchmark.benchmark_errorAfterLimitReached$ ===,353401.643,352933.281,352592.393,352537.113,351682.298,352252.243,352950.106,352430.093,354683.75,352489.605,353795.134,352166.613,353573.014,351896.397,351634.498,352547.2,353085.521,353277.732,352395.887,353922.866,351864.495,353071.469,352108.469,353411.636,350082.63,353371.859,352828.164,352744.277,352163.595,353012.104
io.reactivex.rxjava3.internal.operators.flowable.FlowableMergeWithSingleTest._Benchmark.benchmark_otherError$ ===,932988.736,929453.424,925118.205,929541.3,931997.037,927757.682,926999.965,926570.745,923538.78,930885.605,924240.388,929897.754,928587.278,924694.89,927063.256,929085.796,929060.565,929102.749,927873.141,926403.117,931269.897,931193.15,929278.921,923988.083,926750.252,924832.701,928820.915,926823.246,929928.57,929559.347
io.reactivex.rxjava3.internal.operators.single.SingleDelayTest._Benchmark.benchmark_withPublisherError$ ===,1020011.356,1023521.433,1019248.858,1019763.632,1023205.391,1024680.689,1018562.077,1024704.48,1017286.597,1016020.13,1026909.679,1021978.852,1018493.844,1017807.996,1020703.416,1018158.874,1019485.877,1021966.185,1018896.555,1024028.062,1023010.464,1022773.235,1023206.465,1020543.184,1020041.197,1020277.505,1021800.355,1016251.959,1020435.197,1021674.816
io.reactivex.rxjava3.internal.operators.flowable.FlowableSubscribeOnTest._Benchmark.benchmark_dispose$ ===,8028640.093,8045575.821,8036954.908,8043016.22,8006968.668,8033041.696,8081555.443,8026280.644,8100915.433,8081874.191,8073068.76,8054966.854,8043512.281,8078079.058,8043279.567,8045316.458,8045598.86,8036356.817,8055442.927,8053006.36,8056054.973,8046308.323,8070232.996,8092896.347,8036198.367,8040133.457,8065248.119,8072447.433,8034096.411,8106640.827
io.reactivex.rxjava3.internal.operators.observable.ObservableReduceTest._Benchmark.benchmark_seedDisposed$ ===,667500.93,669648.187,667447.113,669885.959,666479.831,668610.816,667879.625,668717.438,669106.755,668617.05,667985.357,666974.92,669014.518,669671.981,669378.297,668952.213,666860.503,672433.704,670209.781,655626.621,667326.177,667866.349,670156.536,669598.396,667051.004,666424.467,665864.122,670680.229,667883.367,666268.127
