Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30
io.reactivex.rxjava3.internal.operators.mixed.ObservableSwitchMapCompletableTest._Benchmark.benchmark_switchOver$ ===,2649589.332,2617731.82,2616030.045,2618791.152,2666117.771,2622224.322,2664150.383,2613272.293,2643198.797,2634057.885,2685851.739,2622437.43,2683577.934,2647702.755,2617501.834,2684266.376,2682506.163,2662073.383,2662669.865,2625888.904,2680000.881,2631724.284,2635325.002,2672271.401,2648440.755,2628868.574,2669897.819,2653117.688,2660461.737,2626463.988
io.reactivex.rxjava3.internal.jdk8.FlowableFromStreamTest._Benchmark.benchmark_takeConditional$ ===,2630729.095,2634523.253,2641181.395,2635577.242,2640615.772,2596297.928,2647759.292,2646243.624,2634147.668,2636867.541,2639055.721,2636787.04,2632422.043,2594924.431,2639959.652,2640321.73,2636391.705,2638348.445,2628011.371,2634172.716,2638621.603,2641549.006,2641540.649,2634676.948,2638787.776,2644827.585,2641823.415,2646664.33,2641736.736,2633779.247
io.reactivex.rxjava3.internal.operators.observable.ObservableRetryTest._Benchmark.benchmark_retryLongPredicateInvalid$ ===,1065690.654,1069226.147,1068226.555,1054289.961,1064712.098,1073660.632,1069459.38,1065469.147,1067403.109,1063468.071,1067663.318,1070802.646,1060891.654,1070792.04,1068186.569,1062038.514,1070171.766,1069525.168,1069033.11,1068843.041,1066231.752,1047164.362,1067907.94,1067700.963,1068788.553,1068163.852,1068570.173,1064184.367,1061388.348,1068723.352
io.reactivex.rxjava3.internal.operators.completable.CompletableDisposeOnTest._Benchmark.benchmark_normal$ ===,6739797.937,6787112.174,6766979.434,6710058.948,6718234.914,6785761.771,6694363.026,6665467.933,6742933.768,6825308.594,6807052.835,6712819.27,6756936.992,6801967.703,6740063.594,6741145.333,6788600.26,6721761.812,6622486.639,6704363.089,6755761.31,6775240.018,6702345.996,6776738.108,6744755.219,6719596.734,6760257.984,6760387.981,6764824.058,6780003.958
io.reactivex.rxjava3.internal.operators.flowable.FlowableMergeWithMaybeTest._Benchmark.benchmark_normalBackpressured$ ===,1897042.225,1872664.325,1911442.019,1871613.564,1924373.834,1864523.859,1924141.077,1859628.338,1905340.255,1849042.487,1924596.69,1877164.007,1901438.117,1884351.035,1885417.205,1874517.217,1835414.612,1929195.776,1846115.617,1839108.707,1864757.994,1866317.49,1916838.051,1828231.084,1845795.238,1881711.641,1891130.285,1872051.828,1909578.699,1846205.75
io.reactivex.rxjava3.internal.operators.flowable.FlowableMergeWithMaybeTest._Benchmark.benchmark_doubleOnSubscribeMain$ ===,696916.895,702177.893,697806.553,698940.181,693959.942,698947.243,701416.941,703771.232,697844.867,696217.896,698233.245,698442.257,704129.371,701519.253,699318.77,704749.972,698905.15,697891.399,704334.786,699762.213,696415.688,696674.685,699925.327,700108.687,700528.229,697733.525,706660.483,701350.687,705388.281,701648.278
io.reactivex.rxjava3.internal.operators.observable.ObservableConcatMapCompletableTest._Benchmark.benchmark_fusedPollThrows$ ===,749122.307,747021.256,746017.731,745569.837,744631.251,749576.341,748537.281,746345.961,745361.274,746029.863,746068.433,746582.216,746739.813,746510.111,745624.914,745990.831,746342.436,745627.018,748138.239,744348.491,747757.547,747368.074,746125.173,746236.61,747136.934,748988.756,748811.016,747957.068,747362.033,749753.361
io.reactivex.rxjava3.internal.operators.observable.ObservableUsingTest._Benchmark.benchmark_eagerOnCompleteDisposerCrash$ ===,824080.327,822159.36,819015.22,821340.727,820894.025,820159.544,821596.764,821482.944,821536.931,822203.613,824532.683,823745.57,810236.15,821842.39,821741.695,821434.899,818730.211,823160.262,823819.979,819657.33,822483.687,823797.023,819347.083,821483.315,823633.591,823813.127,820833.412,820673.023,821895.484,820236.804
io.reactivex.rxjava3.internal.operators.flowable.FlowableConcatTest._Benchmark.benchmark_concat3$ ===,3440355.792,3398138.403,3447789.654,3360104.253,3373495.403,3400068.532,3321929.407,3409012.704,3411066.756,3330766.394,3336441.823,3382127.291,3402738.461,3436109.333,3355618.804,3374727.632,3345846.836,3357766.758,3462208.763,3415170.494,3304419.5,3326789.247,3412634.102,3353123.667,3341634.658,3309715.4,3397620.803,3355019.008,3459075.128,3425968.703
io.reactivex.rxjava3.internal.operators.completable.CompletableFromPublisherTest._Benchmark.benchmark_fromPublisherThrows$ ===,1041108.651,1039812.802,1042814.818,1039604.587,1041174.044,1037927.748,1043546.789,1040185.777,1042886.617,1039046.921,1042784.96,1039385.259,1043120.77,1038820.516,1039302.951,1043550.038,1041171.979,1040905.271,1044124.759,1036673.236,1028774.261,1042858.64,1043023.662,1041131.426,1041156.721,1039063.824,1042305.719,1040564.501,1040883.008,1036469.553
