Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30
io.reactivex.rxjava3.internal.operators.flowable.FlowableRetryTest._Benchmark.benchmark_retryLongPredicateInvalid$ ===,1042142.085,1048285.603,1043770.801,1035968.758,1035348.127,1041861.699,1039875.313,1039655.606,1041507.428,1045139.664,1041054.073,1044028.692,1038906.318,1042228.311,1040304.432,1038449.203,1039231.518,1036165.0,1042961.372,1037054.093,1041550.044,1043136.669,1035268.761,1043029.055,1039051.571,1045190.826,1043066.738,1040756.935,1036544.269,1039419.393
io.reactivex.rxjava3.internal.operators.observable.ObservableReplayTest._Benchmark.benchmark_resetWhileActiveIsNoOp$ ===,14639923.821,14597344.908,14607785.441,14595771.95,14618142.297,14644049.536,14609542.355,14573796.163,14621108.182,14564320.906,14585183.604,14618404.149,14593609.338,14582031.239,14626265.841,14592373.633,14582360.412,14604592.543,14642118.751,14624163.51,14542551.661,14612279.132,14639187.135,14584721.687,14553307.811,14561863.548,14603878.22,14585585.946,14619599.251,14570608.594
io.reactivex.rxjava3.internal.operators.flowable.FlowableFromIterableTest._Benchmark.benchmark_fusionRejected$ ===,4907948.716,4921684.466,4930354.418,4932000.367,4916589.016,4904285.549,4930719.885,4934009.046,4928965.296,4922637.513,4933612.542,4926832.697,4930228.763,4918325.312,4906294.345,4923209.236,4911600.273,4943891.717,4901366.944,4910100.527,4915531.813,4920079.667,4907103.052,4904436.331,4916501.953,4935683.878,4929670.711,4929021.098,4910685.455,4920188.83
io.reactivex.rxjava3.internal.operators.flowable.FlowableCombineLatestTest._Benchmark.benchmark_fusedNullCheck$ ===,512644.846,504598.456,508907.483,507902.064,506313.096,509985.027,509448.354,508936.329,506457.337,506679.025,507945.562,508229.001,507585.983,507382.038,510041.858,507667.935,508051.129,509116.346,507515.459,508181.035,508454.427,507746.809,508672.835,508873.92,508330.478,506853.703,506280.495,509394.642,506719.282,508159.468
io.reactivex.rxjava3.internal.operators.single.SingleUsingTest._Benchmark.benchmark_disposerThrowsNonEager$ ===,326406.754,326221.327,325732.895,325263.006,326841.941,325446.215,325108.806,325695.686,326396.81,324653.898,325854.821,326932.972,326983.984,325314.994,326890.656,325349.305,325613.186,325789.023,325629.723,326828.373,325682.687,325612.185,324974.717,325681.58,325734.602,326062.366,325444.998,324329.145,325605.762,325716.252
io.reactivex.rxjava3.internal.observers.CallbackCompletableObserverTest._Benchmark.benchmark_emptyActionShouldReportNoCustomOnError$ ===,83194499.215,82039045.951,83097429.841,83495047.523,83163016.782,83169086.408,83307804.118,83332964.335,81688394.407,82728486.214,82385683.292,83183380.949,83411887.668,83548533.204,83596497.925,83024440.49,83379032.818,83445556.22,83129166.268,83800312.8,82683324.02,82486232.225,82973516.968,82343167.464,83647031.411,83212328.422,83243096.907,83616102.963,83464608.68,83177434.526
io.reactivex.rxjava3.internal.operators.mixed.ObservableSwitchMapSingleTest._Benchmark.benchmark_disposeBeforeSwitchInOnNext$ ===,6330475.221,6385025.123,6333113.895,6358056.163,6385057.303,6330344.817,6335133.854,6347217.755,6350944.542,6342665.897,6343608.054,6349227.521,6372497.353,6320963.52,6351946.29,6361156.885,6328815.207,6364291.982,6329038.272,6333161.372,6345191.576,6331248.16,6335394.895,6368088.932,6332835.988,6310776.258,6341033.471,6336947.503,6352523.11,6345060.805
io.reactivex.rxjava3.internal.operators.maybe.MaybeFlatMapNotificationTest._Benchmark.benchmark_dispose$ ===,11459050.107,11487752.62,11463230.814,11484499.829,11432118.299,11459795.192,11433234.915,11461245.191,11481085.815,11484423.717,11427975.984,11432404.696,11471106.376,11477873.917,11460311.435,11413642.968,11465992.524,11473620.38,11414950.483,11505525.249,11412317.626,11479945.744,11448874.18,11457088.795,11458296.39,11410524.548,11479222.43,11433403.401,11467229.711,11468071.646
io.reactivex.rxjava3.internal.operators.observable.ObservablePublishTest._Benchmark.benchmark_onErrorAvailableUntilReset$ ===,500633.791,499470.123,500473.522,501683.6,501921.968,499427.058,498767.492,498982.701,500791.699,498848.993,501292.946,500584.467,501132.485,502321.31,499754.117,502039.885,498463.245,499507.748,500875.742,498139.313,501426.807,500768.704,500782.001,499520.142,499916.094,501084.104,500565.484,497171.833,500721.149,499472.365
io.reactivex.rxjava3.internal.operators.mixed.ObservableConcatMapSingleTest._Benchmark.benchmark_basicSyncFused$ ===,1868536.398,1877280.246,1865506.359,1870582.019,1869934.009,1878953.018,1870937.542,1861350.318,1869525.51,1876426.347,1864513.153,1873703.001,1873332.492,1875688.196,1875276.986,1873214.473,1868908.143,1874872.186,1873737.772,1873851.553,1866302.418,1862351.049,1868831.202,1873305.764,1871336.679,1873299.353,1872149.261,1866367.189,1874407.343,1867836.925
io.reactivex.rxjava3.observable.ObservableNullTests._Benchmark.benchmark_toListSupplierReturnsNull$ ===,926814.95,929368.222,928079.707,925527.249,929714.795,929492.326,927874.579,930999.897,931974.809,925935.926,925651.661,932372.681,926072.096,928114.586,928754.31,927338.139,925949.192,928985.299,921370.489,929083.142,924269.022,926562.218,927998.418,925328.43,929478.608,928348.158,925818.306,929845.222,929460.819,929023.069
io.reactivex.rxjava3.internal.operators.flowable.FlowableFlatMapMaybeTest._Benchmark.benchmark_badInnerSource$ ===,199776.528,198985.633,198391.571,199816.37,199858.407,199415.463,198919.658,199487.138,198727.709,200127.484,199391.584,199829.871,199865.746,199233.139,199921.024,198574.467,198557.393,198581.395,199414.455,199640.277,199781.908,198572.019,198542.742,198274.691,199857.292,199429.326,198381.136,200036.682,199750.052,199918.973
io.reactivex.rxjava3.exceptions.OnErrorNotImplementedExceptionTest._Benchmark.benchmark_flowableForEachWhile$ ===,292589.675,290285.467,291357.013,293001.058,293405.852,292882.382,294082.185,293109.716,292600.224,292316.808,294656.677,292458.333,292303.209,291721.419,293913.284,292148.746,290606.605,294257.288,293676.903,292938.025,292634.475,292435.944,293470.908,292497.604,293932.188,293117.363,291867.146,293371.62,293207.481,292901.777
io.reactivex.rxjava3.internal.operators.flowable.FlowableFromActionTest._Benchmark.benchmark_fromAction$ ===,10606840.982,10584771.525,10596289.122,10607739.99,10644440.579,10620483.545,10605049.933,10619683.497,10604182.149,10619834.073,10612627.15,10643279.563,10608479.355,10626860.841,10594110.494,10622131.037,10642109.033,10591433.477,10625732.509,10634987.918,10653619.759,10607261.841,10605443.778,10599145.986,10621415.329,10622841.46,10598432.322,10617876.326,10602965.734,10585266.545
