Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30
io.reactivex.rxjava3.internal.operators.observable.ObservableTakeLastOneTest._Benchmark.benchmark_doubleOnSubscribe$ ===,746783.941,746393.607,744634.327,748428.684,744758.899,748450.383,746017.403,746390.729,742749.775,747139.909,748763.659,734121.348,733587.729,740469.629,748210.297,745880.985,736642.952,746529.39,744657.457,746626.868,744044.035,746362.045,747639.227,749166.942,746622.445,746192.26,742700.255,746293.424,743620.963,745639.442
io.reactivex.rxjava3.internal.operators.flowable.FlowableConcatTest._Benchmark.benchmark_noSubsequentSubscriptionDelayError$ ===,4511516.817,4525834.111,4519726.334,4503767.8,4501470.216,4503331.243,4514949.07,4515399.759,4501313.775,4515149.652,4507530.931,4512894.301,4527893.062,4520344.981,4504325.417,4509214.008,4505094.452,4514487.111,4514197.435,4513270.605,4507262.537,4475783.53,4495375.934,4500095.998,4494883.27,4493036.749,4520630.159,4511190.692,4511476.085,4513311.74
io.reactivex.rxjava3.internal.operators.single.SingleConcatMapCompletableTest._Benchmark.benchmark_dispose$ ===,14541022.848,14473722.478,14522470.614,14544051.409,14533886.835,14520210.837,14495058.993,14495663.289,14544282.613,14525509.443,14424739.581,14454140.031,14524060.448,14495738.126,14494072.948,14529426.517,14483986.392,14310581.612,14517024.886,14543706.899,14499734.083,14508103.688,14519029.357,14507178.658,14503590.141,14289652.161,14536078.151,14264923.728,14560674.498,14528950.386
io.reactivex.rxjava3.internal.operators.flowable.FlowableScanTest._Benchmark.benchmark_error$ ===,986075.338,991414.348,987977.691,986075.134,988457.278,988347.42,993603.481,994775.332,973440.948,991753.529,992667.873,997810.597,996036.967,991508.888,995179.069,997574.869,995828.774,996141.78,990385.025,994256.634,978249.575,995881.702,993801.725,992305.63,989631.988,992421.041,993074.689,986535.22,990001.54,993800.014
io.reactivex.rxjava3.internal.operators.flowable.FlowableWithLatestFromTest._Benchmark.benchmark_singleRequestNotForgottenWhenNoData$ ===,3436914.993,3435647.988,3439447.049,3443978.976,3435509.952,3441804.583,3447136.597,3391601.742,3439345.164,3438529.12,3439319.923,3424814.904,3448467.002,3373575.527,3444914.963,3434285.431,3425233.956,3439115.414,3436705.647,3446334.074,3447940.983,3392953.964,3448103.568,3443556.445,3440158.994,3432614.681,3447313.624,3424392.228,3423681.244,3433736.963
io.reactivex.rxjava3.internal.operators.completable.CompletableBlockingSubscribeTest._Benchmark.benchmark_observerComplete$ ===,12172009.772,12135809.519,12117342.493,12105660.433,12099956.735,12166813.52,12086296.175,11960245.347,12144669.381,12122236.159,12140181.58,12142399.334,12153455.709,12159853.416,12137929.925,12144296.806,12128168.515,12152835.278,12138988.954,12173684.398,12105348.02,12136978.103,12158300.005,12144733.097,12171528.418,12154769.082,12121249.174,12168439.256,12136335.69,12150307.932
io.reactivex.rxjava3.internal.operators.observable.ObservableWithLatestFromTest._Benchmark.benchmark_withError$ ===,890722.348,888871.277,888998.804,887753.177,883415.264,887661.841,884185.346,877921.315,884586.706,872133.291,888150.699,883631.182,854789.715,886078.283,883355.457,884918.623,889901.928,887117.248,888574.582,888085.643,889893.911,884832.534,888571.548,876756.178,886765.616,887636.959,889259.598,881288.867,887454.108,889210.583
io.reactivex.rxjava3.internal.jdk8.ObservableFlatMapStreamTest._Benchmark.benchmark_rangeToEmpty$ ===,4807922.794,4798508.684,4815933.432,4740375.644,4806555.686,4800599.344,4808861.6,4815479.318,4790511.241,4809369.934,4755090.152,4816083.576,4821325.769,4723815.29,4799282.24,4793406.123,4785803.556,4744759.765,4804262.635,4801066.944,4797218.85,4798425.064,4807784.105,4776218.64,4808679.472,4745506.553,4813945.595,4761880.5,4797021.238,4802973.422
io.reactivex.rxjava3.internal.operators.completable.CompletableUnsafeTest._Benchmark.benchmark_unsafeCreateThrowsNPE$ ===,978336.64,989017.587,993011.774,995156.782,993116.802,993183.939,995052.806,980343.741,988338.147,992549.071,993076.823,994100.645,991151.08,988926.807,987043.43,986632.845,978670.091,993715.346,990389.422,988090.324,979237.167,989067.704,991328.132,991252.627,992600.199,967941.33,993765.276,973628.549,976364.6,993774.839
io.reactivex.rxjava3.internal.operators.flowable.BlockingFlowableToFutureTest._Benchmark.benchmark_toFutureList$ ===,7081522.443,7062914.744,7075170.3,7078758.93,7056467.201,6948683.454,7049554.545,7072506.979,7063216.803,7063739.075,7064391.473,7050157.178,7071447.026,7063860.423,7080351.371,7062760.282,7065382.881,7068894.558,7078554.663,7079431.242,7064536.437,7067642.414,6951695.88,7075259.461,7076870.874,7064360.646,7081582.993,7077112.343,7074382.356,7060949.465
io.reactivex.rxjava3.internal.operators.flowable.FlowableToListTest._Benchmark.benchmark_listWithBlockingFirst$ ===,6753762.175,6731468.86,6774503.343,6751986.079,6724395.393,6740099.44,6748325.377,6743885.878,6760933.715,6622027.979,6759585.909,6651790.229,6761847.135,6655264.744,6763948.396,6773494.147,6748203.428,6679651.054,6707312.243,6719785.06,6758809.135,6755880.354,6645353.026,6745540.903,6778436.437,6651262.901,6749528.251,6732847.816,6757449.615,6759336.987
io.reactivex.rxjava3.core.ConverterTest._Benchmark.benchmark_maybeGenericsSignatureTest$ ===,54117217.427,54234391.304,54240313.746,54409453.463,54453052.209,54023940.636,53828248.867,54113874.588,54025219.84,53737478.921,53735352.907,54256091.05,54206725.476,54284409.032,54064548.64,54428300.117,54169973.767,54316359.291,53549047.527,54454622.738,54395757.546,54491368.241,54504552.023,54432562.514,54650753.562,54131881.369,54073756.47,54209294.606,54165220.997,52299587.541
io.reactivex.rxjava3.internal.operators.observable.ObservableFlatMapSingleTest._Benchmark.benchmark_doubleOnSubscribe$ ===,719216.799,732067.427,734645.112,735271.515,732925.598,734207.348,736915.151,733037.296,732933.757,735815.381,734458.615,732574.448,724792.77,732675.442,716885.546,733512.879,733625.114,732536.412,731495.111,733301.139,728919.406,732532.467,733376.185,733525.023,726903.391,732948.522,731294.869,733956.986,733061.995,733968.699
io.reactivex.rxjava3.internal.operators.flowable.FlowableScanTest._Benchmark.benchmark_backpressureWithoutInitialValue$ ===,5079551.082,5077236.986,5086487.86,5078071.611,5061790.112,5078418.279,5073227.838,5091304.784,5057910.292,5083233.777,5073634.963,5081123.614,5017952.682,5092562.094,5085189.64,5052119.836,5004904.917,5060205.013,5092812.929,5076513.508,5086189.694,5063545.918,5078087.32,5060051.204,5051212.759,5080645.058,5087716.037,5067649.024,5060862.61,5086098.565
io.reactivex.rxjava3.internal.operators.observable.ObservableReplayTest._Benchmark.benchmark_reentrantOnNextCancelBounded$ ===,2917560.008,2916284.669,2906205.899,2904199.647,2904825.653,2900074.098,2909746.673,2856994.302,2916328.228,2912562.438,2891886.452,2861553.658,2908495.996,2913258.045,2903768.16,2909130.187,2874750.67,2865060.196,2905785.801,2907464.857,2914618.575,2903990.306,2899303.207,2905794.192,2910519.666,2919334.973,2915929.084,2915635.753,2908789.82,2908761.171
io.reactivex.rxjava3.internal.operators.single.SingleMergeTest._Benchmark.benchmark_merge3$ ===,1908352.037,1908474.978,1914907.819,1910211.992,1908329.553,1913205.94,1909157.062,1912297.478,1906537.25,1909861.317,1914013.953,1906231.687,1914586.259,1913355.524,1907029.47,1915711.281,1907338.104,1909935.957,1904451.952,1907541.322,1914806.855,1913751.116,1904192.935,1906913.229,1893482.881,1878107.565,1904194.069,1913556.076,1911109.301,1906733.171
io.reactivex.rxjava3.internal.operators.flowable.FlowableReplayTest._Benchmark.benchmark_delayedUpstreamOnSubscribe$ ===,9364941.415,9320727.478,9282988.586,9364312.694,9358441.025,9373336.071,9347274.513,9384257.801,9364968.919,9367145.004,9352629.048,9393897.884,9300464.094,9299840.951,9390173.847,9307663.871,9377261.949,9367634.199,9216672.525,9389070.935,9357021.563,9386589.664,9384950.521,9204075.646,9315386.967,9351227.147,9390450.188,9369392.218,9391557.294,9384639.02
io.reactivex.rxjava3.internal.operators.completable.CompletableConcatTest._Benchmark.benchmark_unboundedIn$ ===,2988933.974,2979348.429,3001055.63,2934714.066,2999177.962,3005811.22,2976053.424,2919703.376,2985265.254,2918781.749,2983590.219,2970765.899,2991087.638,3013016.536,2967774.755,2987336.744,2998846.822,2967727.286,2983858.254,2958271.912,2987420.834,3003729.569,2967855.637,2995565.827,2969232.883,3000883.614,2985830.654,2965327.259,2999423.43,3001569.133
io.reactivex.rxjava3.internal.operators.mixed.FlowableSwitchMapSingleTest._Benchmark.benchmark_disposeOnNextAfterFirst$ ===,3324032.442,3308905.576,3322419.109,3318317.644,3275835.534,3329703.875,3317830.454,3260541.549,3313502.907,3319537.438,3328339.938,3322895.665,3334288.148,3313491.601,3317731.352,3326733.203,3328564.879,3311919.194,3315826.176,3328041.79,3339047.066,3313711.324,3328259.577,3337527.887,3309497.102,3323103.358,3308442.744,3308321.465,3328639.587,3339323.563
io.reactivex.rxjava3.internal.operators.flowable.FlowableTakeLastTest._Benchmark.benchmark_moreValuesRemainingThanRequested$ ===,3663178.358,3659705.372,3682504.744,3667932.941,3699887.686,3699603.429,3654133.313,3686063.748,3662365.741,3687721.955,3697112.262,3691693.434,3649427.755,3649698.204,3695109.105,3645542.191,3699776.651,3690439.7,3681930.532,3678145.05,3675765.694,3683767.467,3687415.49,3648801.139,3685192.525,3700959.143,3655384.702,3698763.276,3679189.352,3685097.228
io.reactivex.rxjava3.internal.operators.observable.ObservableReplayEagerTruncateTest._Benchmark.benchmark_reentrantOnNextCancelBounded$ ===,2903924.3,2898136.418,2899165.438,2895755.567,2823329.055,2901463.48,2905199.489,2895753.838,2889412.125,2903150.729,2899283.68,2840939.104,2902377.826,2891894.76,2901330.806,2843847.7,2873040.959,2844068.543,2887543.316,2861145.539,2896588.258,2899149.849,2895390.711,2889254.969,2887599.54,2882364.876,2887983.308,2900756.921,2901268.728,2890756.899
io.reactivex.rxjava3.internal.operators.flowable.FlowableConcatMapTest._Benchmark.benchmark_noCancelPrevious$ ===,1207309.425,1209435.056,1206110.769,1210913.307,1206397.615,1210333.985,1207554.866,1209693.187,1189035.836,1190575.923,1206481.67,1192463.227,1205163.892,1208258.074,1207898.662,1211016.044,1209237.062,1184444.856,1203880.835,1210874.126,1203355.988,1207466.606,1209302.441,1207836.518,1202968.463,1208544.597,1207731.584,1207903.768,1208468.507,1187122.877
io.reactivex.rxjava3.internal.operators.observable.ObservableMergeWithSingleTest._Benchmark.benchmark_onNextSlowPathCreateQueue$ ===,1923862.337,1918401.354,1902672.456,1918647.869,1919594.235,1925118.789,1922531.976,1919204.716,1916293.608,1876133.27,1913325.485,1918925.189,1929863.877,1909094.899,1919533.543,1958822.286,1922287.581,1912583.74,1906960.994,1923325.175,1921628.725,1920360.32,1903753.748,1907573.446,1914019.595,1928534.713,1922289.226,1889686.905,1916049.302,1908145.167
io.reactivex.rxjava3.internal.operators.flowable.FlowableConcatTest._Benchmark.benchmark_noSubsequentSubscription$ ===,4614446.291,4620553.471,4575181.126,4588372.957,4578677.783,4519232.175,4615386.677,4518739.561,4624806.558,4617659.507,4610467.056,4613500.5,4542649.697,4631661.468,4632126.549,4617772.72,4614578.918,4618124.127,4583362.012,4622360.986,4610786.087,4614431.186,4608182.151,4615557.12,4620284.317,4601794.271,4617457.747,4613918.843,4608654.78,4609177.864
io.reactivex.rxjava3.internal.operators.completable.CompletableSequenceEqualTest._Benchmark.benchmark_bothComplete$ ===,4404369.154,4409042.45,4425811.777,4455988.675,4437378.996,4427224.176,4456722.229,4412543.679,4460857.354,4431646.934,4430613.122,4340802.134,4380330.348,4436620.305,4489886.514,4421316.011,4448325.646,4410353.19,4429991.896,4457904.296,4435388.875,4450427.054,4358754.544,4349568.549,4439123.9,4454088.724,4392632.963,4424487.204,4317496.653,4444159.599
io.reactivex.rxjava3.internal.jdk8.FlowableStageSubscriberOrErrorTest._Benchmark.benchmark_lastRange$ ===,12975859.991,12939839.882,12947934.077,12976820.413,12948528.003,12748872.405,12955565.086,12923973.893,12962407.523,12951598.411,12946713.856,12998058.875,12726426.659,12925620.97,12984886.998,12971274.246,12976855.252,12924421.257,12968178.998,12714145.707,12955427.323,12708481.883,12955209.305,12964157.231,12897748.69,12933860.188,12914143.998,12992141.319,12912607.353,12956584.003
io.reactivex.rxjava3.internal.operators.flowable.BlockingFlowableMostRecentTest._Benchmark.benchmark_mostRecentWithException$ ===,1032147.442,1024065.279,1032331.861,1037669.975,1024884.603,1033376.757,1030218.271,1034774.437,1037414.91,1035636.363,1037401.842,1032776.475,1025681.722,1031326.895,1035455.769,1036409.386,1034994.865,1036266.507,1038745.038,1032836.757,1033249.148,1034835.681,1038789.426,1035355.556,1031890.04,1020393.209,1022812.983,1032927.583,1032851.237,1035714.423
io.reactivex.rxjava3.internal.operators.flowable.FlowableRetryWithPredicateTest._Benchmark.benchmark_bipredicateThrows$ ===,249652.892,244773.654,248002.304,248049.777,249112.004,246642.328,249137.714,248785.9,248873.112,248994.739,248744.087,248169.684,247635.874,248706.513,248941.435,248365.554,247620.694,247332.741,248066.635,248801.394,248072.077,248137.56,249484.452,247531.766,247618.347,247923.203,248665.106,248676.515,247906.09,247840.069
io.reactivex.rxjava3.internal.util.QueueDrainHelperTest._Benchmark.benchmark_drainMaxLoopDontAccept$ ===,11067495.235,11051393.656,11058243.402,11050777.633,10778775.398,10924906.068,10983676.272,10981954.291,10975670.381,11050363.682,11024836.688,11056883.155,11005297.039,11056315.028,10998339.429,11027653.73,11034215.231,11074364.676,11008127.461,11002018.985,11028342.432,11075085.746,10980183.053,11010012.265,11036294.742,11074656.224,11040766.309,10985618.961,10973218.625,11040339.759
