Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30
io.reactivex.rxjava3.internal.operators.maybe.MaybeConcatEagerTest._Benchmark.benchmark_publisherNormal$ ===,1514648.203,1521613.952,1541888.614,1537376.017,1549166.511,1562763.925,1539718.098,1526676.826,1544371.345,1528811.016,1538327.497,1514211.714,1539740.521,1533822.16,1540062.385,1543244.751,1568692.326,1537907.344,1535291.471,1532954.419,1527307.918,1543256.311,1527040.635,1564156.806,1530485.62,1543269.406,1524915.032,1538862.599,1540368.601,1530876.63
io.reactivex.rxjava3.internal.operators.flowable.FlowableWithLatestFromTest._Benchmark.benchmark_noDownstreamUnsubscribe$ ===,3488974.071,3473644.693,3527925.842,3502135.844,3542791.125,3499217.641,3473793.041,3527182.415,3469785.383,3508184.7,3539936.941,3460187.349,3502025.917,3465774.755,3523808.59,3477104.03,3507935.722,3517339.994,3485835.512,3513612.296,3513197.871,3454653.941,3530015.838,3461756.062,3494307.209,3507140.876,3514199.385,3440279.547,3528470.063,3477182.622
io.reactivex.rxjava3.internal.operators.flowable.FlowableAmbTest._Benchmark.benchmark_ambArrayOrder$ ===,849270.434,848692.107,848717.152,851724.656,847583.987,849207.08,845650.608,850066.167,848858.163,851788.177,847875.971,849378.649,848321.694,850098.441,852431.645,847863.708,853702.939,847864.949,845049.126,851766.139,851464.218,849975.754,847051.387,849512.602,850166.846,851911.033,845346.96,849654.882,849817.742,846249.49
io.reactivex.rxjava3.internal.jdk8.ObservableMapOptionalTest._Benchmark.benchmark_boundaryFusedNoneConditional$ ===,2679851.749,2696205.732,2698898.067,2690976.888,2724128.807,2666528.643,2727931.158,2679827.277,2667909.671,2727289.703,2692456.204,2694985.497,2668546.844,2692655.237,2698866.857,2692442.663,2683807.286,2685384.484,2701197.169,2688230.809,2678641.584,2711675.365,2705630.587,2677312.489,2706235.933,2686281.017,2682541.031,2697879.666,2671872.628,2701051.411
io.reactivex.rxjava3.internal.operators.flowable.FlowableRefCountTest._Benchmark.benchmark_disposed$ ===,3260748.853,3274993.637,3303359.939,3302591.161,3312208.362,3272335.215,3262068.157,3330647.082,3266098.675,3285774.01,3249692.478,3340488.156,3334631.502,3258857.945,3260824.436,3308463.762,3279698.671,3272069.702,3333885.834,3306036.473,3290126.602,3315807.027,3281022.771,3346872.609,3243647.428,3310141.466,3313951.676,3297307.806,3282475.931,3334931.109
io.reactivex.rxjava3.internal.operators.single.SingleConcatMapMaybeTest._Benchmark.benchmark_concatMapMaybeValueNull$ ===,830367.55,833133.692,831695.67,833083.713,832496.004,827234.853,828308.118,831529.915,831698.997,831492.771,828220.976,832214.731,831028.215,830251.125,826200.942,831831.789,829393.836,828939.288,831807.626,832922.151,829471.344,828362.503,832828.91,831815.777,832948.372,827782.829,831537.296,830358.388,832506.424,829773.853
io.reactivex.rxjava3.internal.jdk8.FlowableFromStreamTest._Benchmark.benchmark_just$ ===,5370011.776,5353392.809,5369484.001,5386219.519,5395134.924,5345204.695,5395633.399,5376381.907,5403682.333,5381282.514,5412753.679,5426080.832,5372381.963,5431973.299,5404880.347,5401220.421,5401808.23,5380029.213,5366745.848,5389301.3,5418107.816,5393355.293,5378913.278,5362388.083,5373549.987,5399294.061,5402319.191,5378922.724,5404789.531,5404028.389
io.reactivex.rxjava3.internal.operators.observable.ObservableGroupByTest._Benchmark.benchmark_groupByWithElementSelector$ ===,588907.933,586635.497,595329.182,588916.472,600504.772,593434.13,590745.634,594397.587,590661.679,595042.26,585461.768,596185.383,589061.134,588385.111,591148.248,589265.293,588322.534,589638.547,584899.364,591457.519,595308.45,588795.322,595633.393,594968.131,594963.479,592603.46,590123.8,592316.449,589870.316,584854.313
io.reactivex.rxjava3.internal.operators.mixed.FlowableSwitchMapSingleTest._Benchmark.benchmark_backpressured$ ===,3958177.631,3921281.498,3962201.072,3945182.039,3911690.57,3966771.782,3954075.503,3941261.507,4012538.728,3934914.189,3979362.092,3924107.689,3990487.449,3940267.524,3937500.736,3979122.301,3941269.504,3961703.226,3978962.312,3941368.696,3925002.868,3998404.57,3966124.698,3957198.809,3947247.598,3972498.702,3956852.381,3938763.747,3974295.332,3937646.939
io.reactivex.rxjava3.internal.operators.flowable.FlowableRefCountTest._Benchmark.benchmark_timeoutResetsSource$ ===,16473903.784,16420741.43,16483535.348,16424270.143,16453490.443,16320519.939,16404177.315,16447369.891,16430374.629,16379634.321,16338988.591,16403985.793,16427496.051,16411770.203,16370579.685,16300346.607,16505474.592,16437862.133,16443874.765,16411898.326,16409486.202,16358239.264,16527095.394,16303972.586,16543424.317,16478667.906,16532606.451,16427541.942,16424603.317,16406680.96
